fips,county_name,total_population,pop_under18,pop_over65,median_age
41021,"Gilliam County, Oregon",1907,394,485,49.6
41023,"Grant County, Oregon",7183,1308,2034,52.6
41025,"Harney County, Oregon",7228,1499,1695,46.1
41027,"Hood River County, Oregon",23131,5706,3460,39.1
41029,"Jackson County, Oregon",214267,44616,45075,42.7
41031,"Jefferson County, Oregon",23143,5463,4275,40.5
41033,"Josephine County, Oregon",85481,16788,21619,47.5
41035,"Klamath County, Oregon",66310,14408,13368,42.4
41037,"Lake County, Oregon",7843,1478,1903,49.1
41039,"Lane County, Oregon",368882,69280,67440,39.4
41041,"Lincoln County, Oregon",47881,8199,12952,51.3
41043,"Linn County, Oregon",122870,28162,22051,39.7
41045,"Malheur County, Oregon",30431,7739,4901,35.9
41047,"Marion County, Oregon",335553,84092,50268,36.4
41049,"Morrow County, Oregon",11215,3145,1662,38.4
41051,"Multnomah County, Oregon",798647,154507,100763,37
41053,"Polk County, Oregon",81427,18830,13995,37.1
41055,"Sherman County, Oregon",1605,263,412,51.5
41057,"Tillamook County, Oregon",26076,4945,6372,48
41059,"Umatilla County, Oregon",76898,19690,11454,36.3
41061,"Union County, Oregon",26028,5759,5043,39.6
41063,"Wallowa County, Oregon",6924,1278,1926,52.6
41065,"Wasco County, Oregon",25866,5829,5161,40.9
41067,"Washington County, Oregon",581821,137409,73044,36.5
41069,"Wheeler County, Oregon",1426,221,488,58.7
41071,"Yamhill County, Oregon",103820,23684,16913,38.1
42001,"Adams County, Pennsylvania",102023,20846,19596,43.6
42003,"Allegheny County, Pennsylvania",1225561,231334,221970,40.8
42005,"Armstrong County, Pennsylvania",66331,12876,13954,46.3
42007,"Beaver County, Pennsylvania",166896,32598,34142,45.1
42009,"Bedford County, Pennsylvania",48611,9728,10617,46.2
42011,"Berks County, Pennsylvania",416642,94216,69086,39.9
42013,"Blair County, Pennsylvania",123842,25397,24518,43.4
42015,"Bradford County, Pennsylvania",61304,13560,12422,44.5
42017,"Bucks County, Pennsylvania",626370,130567,110321,43.8
42019,"Butler County, Pennsylvania",186566,38197,33045,43.2
42021,"Cambria County, Pennsylvania",134550,26057,28785,45.1
42023,"Cameron County, Pennsylvania",4686,779,1226,52.2
42025,"Carbon County, Pennsylvania",63931,12516,12880,46
42027,"Centre County, Pennsylvania",161443,24494,21423,31.7
42029,"Chester County, Pennsylvania",517156,119547,79856,40.4
42031,"Clarion County, Pennsylvania",38827,7309,7260,41.2
42033,"Clearfield County, Pennsylvania",80216,14817,15777,44.7
42035,"Clinton County, Pennsylvania",39074,7968,7035,38.8
42037,"Columbia County, Pennsylvania",66220,11761,12183,40.8
42039,"Crawford County, Pennsylvania",86164,18207,16718,42.9
42041,"Cumberland County, Pennsylvania",247433,50175,44001,40.5
42043,"Dauphin County, Pennsylvania",274515,61753,44262,39.8
42045,"Delaware County, Pennsylvania",563527,124912,88412,39
42047,"Elk County, Pennsylvania",30608,6007,6452,46.9
42049,"Erie County, Pennsylvania",275972,59836,46335,39.4
42051,"Fayette County, Pennsylvania",132289,25561,26611,44.8
42053,"Forest County, Pennsylvania",7351,748,1626,40.4
42055,"Franklin County, Pennsylvania",153751,34814,28920,41.4
42057,"Fulton County, Pennsylvania",14506,2948,2992,45
42059,"Greene County, Pennsylvania",37144,7179,6672,42
42061,"Huntingdon County, Pennsylvania",45421,8390,9072,43.5
42063,"Indiana County, Pennsylvania",85755,15576,15612,39.8
42065,"Jefferson County, Pennsylvania",44084,9354,8860,43.9
42067,"Juniata County, Pennsylvania",24562,5574,4770,42.7
42069,"Lackawanna County, Pennsylvania",211454,42997,40774,42.3
42071,"Lancaster County, Pennsylvania",538347,128151,92310,38.6
42073,"Lawrence County, Pennsylvania",87382,17469,18408,45.1
42075,"Lebanon County, Pennsylvania",138674,31808,26068,41.2
42077,"Lehigh County, Pennsylvania",362613,82508,58706,39.2
42079,"Luzerne County, Pennsylvania",317884,62491,61573,43
42081,"Lycoming County, Pennsylvania",114859,23647,21245,41.4
42083,"McKean County, Pennsylvania",41806,8373,7740,42.9
42085,"Mercer County, Pennsylvania",112630,22321,23322,44.6
42087,"Mifflin County, Pennsylvania",46362,10449,9633,43.8
42089,"Monroe County, Pennsylvania",167586,33787,27248,42.8
42091,"Montgomery County, Pennsylvania",821301,178892,139629,41.3
42093,"Montour County, Pennsylvania",18294,3681,3737,43
42095,"Northampton County, Pennsylvania",301778,61052,54951,42.1
42097,"Northumberland County, Pennsylvania",92325,18238,18885,44.4
42099,"Perry County, Pennsylvania",45924,9960,8002,43
42101,"Philadelphia County, Pennsylvania",1575522,346267,207563,34.3
42103,"Pike County, Pennsylvania",55498,10320,11899,47.7
42105,"Potter County, Pennsylvania",16937,3550,3860,46.7
42107,"Schuylkill County, Pennsylvania",143555,28373,28263,44.2
42109,"Snyder County, Pennsylvania",40466,8537,7206,39.9
42111,"Somerset County, Pennsylvania",74949,13841,15931,45.9
42113,"Sullivan County, Pennsylvania",6177,722,1665,53.1
42115,"Susquehanna County, Pennsylvania",41340,7844,9172,48.2
42117,"Tioga County, Pennsylvania",41226,8214,8578,44.3
42119,"Union County, Pennsylvania",45114,8080,7750,39.4
42121,"Venango County, Pennsylvania",52376,10423,11027,46.5
42123,"Warren County, Pennsylvania",40035,7818,8707,47
42125,"Washington County, Pennsylvania",207547,40817,40748,44.5
42127,"Wayne County, Pennsylvania",51536,8784,11809,48.1
42129,"Westmoreland County, Pennsylvania",354751,65987,76650,46.8
42131,"Wyoming County, Pennsylvania",27588,5478,5433,44.2
42133,"York County, Pennsylvania",444014,98850,73958,41
44001,"Bristol County, Rhode Island",48900,9381,9406,44.2
