,date_0days,cases_0days,deaths_0days,fips,date_60days,cases_60days,deaths_60days,date_70days,cases_70days,deaths_70days,date_80days,cases_80days,deaths_80days,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019,percent_democrat,percent_gop,percent_in_poverty,pop_under18,pop_over65,pop_2018,median_age
222,2020-03-07,2,0,41029,2020-05-06,49.0,0.0,2020-05-16,50.0,0.0,2020-05-26,60.0,0.0,50,212070,60113,81318,4002,4806,79.383302602,220944,0.419601306497,0.51145111717,14.8,44616,45075,214267,42.7
225,2020-03-07,1,0,33015,2020-05-06,903.0,43.0,2020-05-16,1095.0,60.0,2020-05-26,1240.0,67.0,43,302479,69798,88226,74176,58826,445.46308918,309769,0.446881372029,0.5052763889280001,5.3,60925,50759,305129,44.3
228,2020-03-07,1,0,29189,2020-05-06,3539.0,204.0,2020-05-16,4106.0,329.0,2020-05-26,4583.0,387.0,468,999539,235062,343934,139112,234558,1959.2565868000002,994205,0.5578349649350001,0.395399737434,10.5,221598,172382,998684,40.3
231,2020-03-07,2,0,42091,2020-05-06,4827.0,471.0,2020-05-16,5797.0,614.0,2020-05-26,6598.0,635.0,215,818677,190034,261962,148959,213123,1720.4403096,830915,0.58729698308,0.376157047316,5.9,178892,139629,821301,41.3
234,2020-03-07,1,0,53037,2020-05-06,15.0,0.0,2020-05-16,51.0,0.0,2020-05-26,75.0,0.0,6,43726,9312,16359,2949,1288,20.865716698,47935,0.392167557543,0.536980473437,15.8,7810,6862,44825,33.1
237,2020-03-07,1,0,51059,2020-05-06,4834.0,201.0,2020-05-16,7386.0,278.0,2020-05-26,9839.0,340.0,178,1142004,205097,324518,278265,289947,2934.8116360999998,1147532,0.652997653162,0.29075190933899997,6.1,270503,144212,1143529,37.9
240,2020-03-07,1,0,50003,2020-05-06,53.0,1.0,2020-05-16,60.0,1.0,2020-05-26,62.0,1.0,10,36054,10413,14897,1709,4494,52.548430542,35470,0.583603548486,0.362496176201,11.4,6920,7906,35920,47.0
243,2020-03-07,1,0,25003,2020-05-06,461.0,37.0,2020-05-16,495.0,37.0,2020-05-26,537.0,39.0,24,127751,37339,57613,4495,5606,134.8010402,124944,0.674965507619,0.260421349621,11.3,22133,28064,127328,46.7
246,2020-03-07,1,0,6087,2020-05-06,138.0,2.0,2020-05-16,149.0,3.0,2020-05-26,200.0,3.0,22,273263,57232,99105,29040,18034,613.82863485,273213,0.7504691257960001,0.177589442247,12.2,53761,41001,273765,37.4
249,2020-03-07,1,0,6065,2020-05-06,4672.0,190.0,2020-05-16,5618.0,255.0,2020-05-26,7139.0,309.0,351,2355002,437180,622846,275801,104732,342.70320899999996,2470546,0.496107441063,0.452762678244,12.7,613808,328609,2383286,35.3
252,2020-03-07,1,0,6039,2020-05-06,55.0,2.0,2020-05-16,71.0,2.0,2020-05-26,90.0,2.0,10,154440,28392,30551,13657,13802,73.62298192,157327,0.38767766979,0.5609841520009999,20.2,42814,20797,155013,33.9
255,2020-03-07,1,0,6019,2020-05-06,777.0,9.0,2020-05-16,1192.0,16.0,2020-05-26,1535.0,26.0,164,971616,157757,328935,31408,32321,167.6799017,999101,0.49411821116899995,0.45531518716200003,21.3,279979,114438,978130,32.0
258,2020-03-07,1,0,20091,2020-05-06,521.0,45.0,2020-05-16,648.0,56.0,2020-05-26,765.0,61.0,110,578797,110038,207529,89627,110002,1271.9107791,602401,0.45155547929799994,0.47866153356700003,5.5,145775,79578,585502,37.5
261,2020-03-07,1,0,13135,2020-05-06,2222.0,81.0,2020-05-16,2597.0,102.0,2020-05-26,3307.0,125.0,82,889954,122430,235117,165900,119359,2174.1752753,936250,0.509562221584,0.45214258592100004,9.2,247451,83442,902298,35.1
264,2020-03-07,1,0,13067,2020-05-06,1998.0,107.0,2020-05-16,2407.0,132.0,2020-05-26,2854.0,150.0,119,739072,120689,206626,154218,133345,2237.0896015,760141,0.488370953116,0.46749626253,9.1,180207,85117,745057,36.5
267,2020-03-07,1,0,12127,2020-05-06,526.0,27.0,2020-05-16,591.0,30.0,2020-05-26,680.0,37.0,148,518660,160876,156522,39807,18643,502.41804154,553284,0.417945940132,0.548447200197,13.2,94308,125506,527634,46.5
270,2020-03-07,1,0,12091,2020-05-06,161.0,5.0,2020-05-16,176.0,5.0,2020-05-26,193.0,6.0,57,197591,41694,81035,10334,19014,226.54514971,210738,0.235562355326,0.7131943133609999,12.7,44558,31003,200737,36.8
273,2020-03-07,1,0,12015,2020-05-06,294.0,29.0,2020-05-16,370.0,41.0,2020-05-26,430.0,56.0,51,173236,81236,39077,16049,9928,277.35736469,188910,0.3469680138699999,0.624939007298,11.1,22165,69046,176954,58.6
